--------- beginning of system
01-08 00:41:45.577   307   307 I SensorHubDaemon: sensor id is 103, name is 6DOFG, freq_max is 100, current_sensor_index is 33 
01-08 00:41:45.577   307   307 I SensorHubDaemon: sensor id is 102, name is 9DOF, freq_max is 100, current_sensor_index is 34 
01-08 00:41:45.577   307   307 I SensorHubDaemon: sensor id is 101, name is BIST, freq_max is -1, current_sensor_index is 35 
01-08 00:41:45.577   307   307 I SensorHubDaemon: sensor id is 5, name is LPE_P, freq_max is -1, current_sensor_index is 36 
01-08 00:41:45.577   307   307 I SensorHubDaemon: sensor id is 4, name is PS_P, freq_max is -1, current_sensor_index is 37 
01-08 00:41:45.577   307   307 I SensorHubDaemon: sensor PS_P supports calibration 
01-08 00:41:45.577   307   307 I SensorHubDaemon: sensor id is 3, name is ALS_P, freq_max is -1, current_sensor_index is 38 
01-08 00:41:45.577   307   307 I SensorHubDaemon: sensor ALS_P supports calibration 
01-08 00:41:45.577   307   307 I SensorHubDaemon: sensor id is 2, name is COMPS, freq_max is 100, current_sensor_index is 39 
01-08 00:41:45.577   307   307 I SensorHubDaemon: sensor COMPS supports calibration 
01-08 00:41:45.577   307   307 I SensorHubDaemon: sensor id is 1, name is ACCEL, freq_max is 400, current_sensor_index is 40 
01-08 00:41:45.577   307   307 I SensorHubDaemon: sensor ACCEL supports calibration 
01-08 00:41:47.447   635   635 I InstallerConnection: connecting...
01-08 00:41:47.471   635   635 I InstallerConnection: disconnecting...
01-08 00:41:47.553   635   635 I SystemServer: Entered the Android system server!
01-08 00:41:47.640   635   635 I SystemServiceManager: Starting com.android.server.pm.Installer
01-08 00:41:47.644   635   635 I Installer: Waiting for installd to be ready.
01-08 00:41:47.644   635   635 I InstallerConnection: connecting...
01-08 00:41:47.644   635   635 I SystemServiceManager: Starting com.android.server.am.ActivityManagerService$Lifecycle
01-08 00:41:47.667   635   635 I ActivityManager: Memory class: 192
01-08 00:41:47.670   635   649 I ServiceThread: Enabled StrictMode logging for ActivityManager looper.
01-08 00:41:47.671   635   650 I ServiceThread: Enabled StrictMode logging for android.ui looper.
01-08 00:41:47.691   635   635 D BatteryStatsImpl: Reading daily items from /data/system/batterystats-daily.xml
01-08 00:41:47.882   635   635 I IntentFirewall: Read new rules (A:0 B:0 S:0)
01-08 00:41:47.888   635   656 I ServiceThread: Enabled StrictMode logging for android.display looper.
01-08 00:41:47.892   635   635 D AppOps  : AppOpsService published
01-08 00:41:47.893   635   635 I SystemServiceManager: Starting com.android.server.power.PowerManagerService
01-08 00:41:47.896   635   658 I ServiceThread: Enabled StrictMode logging for PowerManagerService looper.
01-08 00:41:47.901   635   635 I SystemServiceManager: Starting com.android.server.lights.LightsService
01-08 00:41:47.905   635   635 I SystemServiceManager: Starting com.android.server.display.DisplayManagerService
01-08 00:41:47.909   635   635 I SystemServiceManager: Starting phase 100
